feature,gain,split
467bee277,0.08410834516881553,26
4824c1e90,0.08394002290117611,36
b4cfe861f,0.08378484813795871,39
794e93ca6,0.08366668941202504,24
a00a63886,0.0836665755268203,7
01005e5de,0.08316404916755066,31
759c9e85d,0.08306183203150852,38
c144a70b1,0.08298639117162174,51
e7962beb9,0.08253191657284549,53
7124d86d9,0.08207174323118586,30
06393096a,0.08206407563204758,34
71659d45d,0.0819117138593736,29
7e78d546b,0.0815904185813959,57
1614f0f84,0.08108220274297272,73
3e1100230,0.0805107278900089,17
13ee58af1,0.08013694045530512,30
350473311,0.0795805911069672,23
342e7eb03,0.07883214153681996,32
1977eaf08,0.07823165204045225,26
b3655056c,0.07775900362381251,55
3305c8063,0.07745138851167747,28
da2a2f42d,0.07735404508420178,40
94ecf4c83,0.07679530318831747,32
122c135ed,0.07674397272929993,37
4e5da0e96,0.07661677003688765,35
cc0045289,0.07621918723715548,33
58a1cb6eb,0.07614824468044118,43
3c8a3ced0,0.07581383630357062,18
a208e54c7,0.07523258379185226,31
57e185aad,0.07491971423855387,21
0397f7c9b,0.07465422541307361,31
8e4d0fe45,0.07434229406467212,40
935ca66a9,0.07405163465996768,32
ef30f6be5,0.07399354069961664,26
092271eb3,0.07396923166553945,13
d5fa73ead,0.07375508224812803,43
aa31dd768,0.07329181066694454,18
b64425521,0.07268143099090121,14
ff65215db,0.07148221424664981,24
edddb1ba5,0.07111117002912384,20
51d4053c7,0.07099135879833543,32
5b714cd7a,0.07091586313972063,30
faf024fa9,0.07029300020299509,22
63f968fa6,0.06969983388910113,47
19915a6d3,0.06948535465610889,18
ab515bdeb,0.06941809618507079,38
72d34a148,0.06938287112743581,33
94516b63e,0.06929688614122713,48
ea4046b8d,0.06852187728099632,41
dfde54714,0.0682413046427499,21
27461b158,0.06789655210456613,24
d1e0f571b,0.06751518576540504,27
98082c8ef,0.06728142491619721,29
c2cfc2003,0.0665426313886589,42
f8cd9ae02,0.06549862301123138,21
08e89cc54,0.06497248171345069,19
f02ecb19c,0.06391715991611775,30
dd16bb1ff,0.0635518204345785,25
4bcf15776,0.0625973414361314,22
4b9540ab3,0.0625128988538358,19
3a48a2cd2,0.06225581658200683,37
77697c671,0.062209188776368024,15
e6c050854,0.06199789002159535,29
166008929,0.06190234143111811,29
ed1f680d4,0.06161152935657275,5
66146c12d,0.0605104193077943,20
ed6c300c2,0.06040743037698188,30
bdf773176,0.060281911697880865,28
277ef93fc,0.06002502567176337,14
c2dae3a5a,0.05989738142243989,21
d7875bb6c,0.059891541703575746,28
3bdee45be,0.058955977800035725,22
580f5ff06,0.05862951494637983,9
4dcf81d65,0.05795901210041898,33
6b119d8ce,0.057621160368976715,13
dbc0c19ec,0.05680931924372281,31
f97d9431e,0.05666743635537594,22
fa05fd36e,0.05660726264199619,46
77deffdf0,0.05659420017792386,16
61c1b7eb6,0.0565667033326023,26
aac52d8d9,0.056463825655876085,19
6c0e0801a,0.05630339343058146,25
4ead853dc,0.056160888672496384,32
2b2a10857,0.05616001091835991,33
a8b721722,0.056129865446196005,23
a00adf70e,0.05608454296769709,30
4fe8154c8,0.055986772332651105,34
91570fb11,0.05562576574300829,15
22f05c895,0.055289200985842064,33
4415f4c2b,0.055279639695983325,41
0c8063d63,0.05493126563427519,26
b85fa8b27,0.054837431566715195,27
0186620d7,0.0547568272828766,33
f72edfb37,0.05458368656015997,21
a93118262,0.05446228265810128,16
04b88be38,0.05414022861710474,23
8485abcab,0.05402757146257905,1
6b241d083,0.053903965931482466,35
f58fb412c,0.053439757233580736,17
a682ef110,0.05329751116966867,14
555f18bd3,0.053218255967496714,24
9e0c57b34,0.0527037574017166,41
82e01a220,0.05266765601919472,18
76bfb8732,0.05247970937530536,14
5780e6ffa,0.052261322768873845,15
de0aaf6f4,0.05212841529175043,25
939f628a7,0.051970406099245976,19
bf6e38e39,0.05173426603674062,40
861076e21,0.05163476447489022,21
9fa38def3,0.05137884268874993,15
ce6349807,0.05114777337635464,31
24018f832,0.05076030855919051,13
348aedc21,0.050681788754649106,18
ca2b906e8,0.05040742466286444,25
bd1c19973,0.05039716310568004,19
20551fa5b,0.05026560623692168,23
53102b93f,0.050065625376580075,13
82f715995,0.049737905855235715,9
c83d6b24d,0.049690839497358114,35
5324862e4,0.04949951248332716,15
8d8bffbae,0.049275914703014866,10
1c71183bb,0.04926662069906805,26
8479174c2,0.049077796154868965,7
14a5969a6,0.04907605221052439,12
3d6d38290,0.04899194087305918,24
540cc3cd1,0.04870388705529513,37
899dbe405,0.04868195460339694,23
57dd44c29,0.048532773138407065,16
9de83dc23,0.048367948504340244,17
8781e4b91,0.04802602185242902,23
a0a8005ca,0.047994942040838665,29
dfd179071,0.047934687087613774,28
4c60b70b8,0.04774137984829721,26
64c6eb1cb,0.04766443177976811,20
ff3ebf76b,0.04737851404045919,9
b1b17b543,0.047374361745615524,43
e84eed5ae,0.04720518309761736,32
831cebed2,0.0471348515450962,26
cbb673163,0.047063056505976544,17
d0803e3a1,0.046195270004760515,17
68a945b18,0.04605928684751845,24
b46191036,0.0460189883274475,27
850027e38,0.045988240978797966,19
a09a238d0,0.045723442643276956,27
fb5e1b2b7,0.045590186851535625,20
aca228668,0.0454509787550432,43
c3825b569,0.04539393409126053,19
5190d6dca,0.04531653126150315,14
a6b6bc34a,0.045282549586032186,27
07746dcda,0.044937025090663406,19
374b83757,0.044794552945454987,45
